Address,Unnamed: 0,Area,Beds,Full Baths,FullBaths,Half Baths,HalfBaths,Locality,Lot Size,Price,Coodinates,Latitude,Longitude
"0 Gateway, Rock Springs, WY 82901",2,,,,,,,"Rock Springs, WY 82901",,"$725,000","Gateway Boulevard, Rock Springs, Sweetwater County, Wyoming, 82901, United States of America",41.5918423,-109.2436744
"0 Hwy 41, Rocksprings, TX 78880",206,,,,,,,"Rocksprings, TX 78880",,"$1,080,000",,,
"0000 Black Canyon Highway, Black Canyon City, AZ 85324",259,,,,,,,"Black Canyon City, AZ 85324",5 Acres,"$150,000",,,
"1003 Winchester Blvd., Rock Springs, WY 82901",27,,4.0,,4.0,,,"Rock Springs, WY 82901",0.21 Acres,"$452,900",,,
"1021 Cypress Cir, Rock Springs, WY 82901",126,"1,676",4.0,,3.0,,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$210,000","1021, Cypress Circle, Rock Springs, Sweetwater County, Wyoming, 82901, United States of America",41.623944992899,-109.225894392523
"1302 Veteran's Drive, Rock Springs, WY 82901",97,"1,932",4.0,,2.0,,,"Rock Springs, WY 82901",0.27 Acres,"$252,900",,,
"1344 Teton Street, Rock Springs, WY 82901",169,"1,920",3.0,,2.0,,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$199,900","1344, Teton Street, Rock Springs, Sweetwater County, Wyoming, 82901, United States of America",41.5712333096264,-109.217351764087
"18688 E AGUA Vista, Black Canyon City, AZ 85324",325,,,,,,,"Black Canyon City, AZ 85324",0.7 Acres,"$70,000",,,
"19000 E MAREN Avenue, Black Canyon City, AZ 85324",369,,,,,,,"Black Canyon City, AZ 85324",2.05 Acres,"$29,000","Maren Avenue, Black Canyon City, Yavapai County, Arizona, 85324, United States of America",34.09035,-112.1514349
"19260 E Scenic Loop Road, Black Canyon City, AZ 85324",364,,,,,,,"Black Canyon City, AZ 85324",2.35 Acres,"$30,000",,,
"19350 E SAGUARO Drive, Black Canyon City, AZ 85324",373,,,,,,,"Black Canyon City, AZ 85324",0.73 Acres,"$28,995",,,
"19421 E Todd Evans Road, Black Canyon City, AZ 85324",320,"1,404",3.0,,2.0,,,"Black Canyon City, AZ 85324",,"$70,500","19421, Todd Evans Road, Black Canyon City, Yavapai County, Arizona, 85324, United States of America",34.070262,-112.144043949548
"20101 E SQUAW VALLEY Road, Black Canyon City, AZ 85324",336,,,,,,,"Black Canyon City, AZ 85324",,"$54,900","East Squaw Valley Road, Black Canyon City, Yavapai County, Arizona, 85324, United States of America",34.077605,-112.1241279
"20650 E Amethyst Place, Black Canyon City, AZ 85324",377,,,,,,,"Black Canyon City, AZ 85324",0.31 Acres,"$15,000",,,
"3239 Spearhead Way, Rock Springs, WY 82901",70,"3,076",4.0,,3.0,,1.0,"Rock Springs, WY 82901","Under 1/2 Acre, ","$389,900",,,
"32575 S Shadow Mountain Road, Black Canyon City, AZ 85324",246,"2,318",3.0,,2.0,,,"Black Canyon City, AZ 85324",,"$299,900",,,
"32750 S Shangrila Drive, Black Canyon City, AZ 85324",254,"2,120",3.0,,2.0,,,"Black Canyon City, AZ 85324",,"$167,500",,,
"33160 S Canyon Road, Black Canyon City, AZ 85324",310,"1,248",3.0,,2.0,,,"Black Canyon City, AZ 85324",,"$77,900",,,
"33259 S Canyon Road, Black Canyon City, AZ 85324",343,"1,056",3.0,,1.0,,,"Black Canyon City, AZ 85324",,"$45,600",,,
"33403 S. HA-WA-SI TERRACE, BLACK CANYON CITY, AZ 85324",286,"2,000",4.0,,2.0,,,"BLACK CANYON CITY, AZ 85324",,"$129,000",,,
"34263 S Bertha Street, Black Canyon City, AZ 85324",299,"2,260",5.0,,2.0,,,"Black Canyon City, AZ 85324",,"$80,000",,,
"34558 S ROADRUNNER RD, Black Canyon City, AZ 85324",359,784,2.0,,1.0,,,"Black Canyon City, AZ 85324",Under 1/2 Acre,"$40,000",,,
"34775 S CHOLLA Drive, Black Canyon City, AZ 85324",270,"1,220",3.0,,2.0,,,"Black Canyon City, AZ 85324",,"$129,500",,,
"4 Minnies Lane, Rock Springs, WY 82901",194,"1,664",3.0,,2.0,,,"Rock Springs, WY 82901",2.02 Acres,"$196,900",,,
"50600 N Old Black Canyon Road, Black Canyon City, AZ 85324",329,,,,,,,"Black Canyon City, AZ 85324",3 Acres,"$67,500",,,
"522 Emerald Street, Rock Springs, WY 82901",94,"1,172",3.0,,3.0,,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$254,000","522, Emerald Street, Rock Springs, Sweetwater County, Wyoming, 82901, United States of America",41.583439664584,-109.204488689181
"600 Talladega, Rock Springs, WY 82901",41,"3,154",5.0,,3.0,,,"Rock Springs, WY 82901",,"$396,900","600, Talladega Dr., Rock Springs, Sweetwater County, Wyoming, 82901, United States of America",41.594885,-109.271452
"913 Madison Dr, Rock Springs, WY 82901",150,"1,344",3.0,,2.0,,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$209,000","Madison Drive, Rock Springs, Sweetwater County, Wyoming, 82901, United States of America",41.5922361,-109.2476061
"9339 Sd 26900, Rocksprings, TX 78880",210,"2,560",,,,,,"Rocksprings, TX 78880",,"$908,350",,,
"9770a Sd 26900, Rocksprings, TX 78880",226,"1,080",,,,,,"Rocksprings, TX 78880",,"$559,805",,,
"CR450 Hwy 377, Rocksprings, TX 78880",213,,,,,,,"Rocksprings, TX 78880",,"$905,000",,,
"Cr 240 Cr 240, Rocksprings, TX 78880",218,"1,398",,,,,,"Rocksprings, TX 78880",,"$695,000",,,
"Lot17 CR 2630, Rocksprings, TX 78880",230,,,,,,,"Rocksprings, TX 78880",,"$504,000",,,
"RR674 Hwy 377, Rocksprings, TX 78880",223,"1,738",,,,,,"Rocksprings, TX 78880",,"$605,000",,,
"RR674P13 Hwy 377, Rocksprings, TX 78880",201,"2,000",,,,,,"Rocksprings, TX 78880",,"$1,100,000",,,
"Tr12,16 CR 520, Rocksprings, TX 78880",233,,,,,,,"Rocksprings, TX 78880",,"$410,000",,,
